id,speed
0,47.898727
1,47.58872
2,38.259132
3,31.206327
4,40.090874
5,25.984045
6,20.746805
7,49.2038
8,48.221134
9,30.66519
10,29.410913
11,22.639912
12,22.620369
13,23.599758
14,26.043795
15,39.90287
16,42.898468
17,46.742867
18,48.639908
19,48.500732
20,46.66025
21,44.018997
22,19.80933
23,29.081427
24,26.637568
25,19.050932
26,20.141651
27,20.30187
28,17.231647
29,13.566457
30,24.020563
31,46.974373
32,48.966293
33,28.532887
34,25.606686
35,24.519072
36,20.052155
37,20.275452
38,45.66849
39,40.120476
40,44.864174
41,47.90185
42,48.641117
43,44.15885
44,19.288895
45,17.577549
46,17.493534
47,10.75842
48,44.743805
49,48.53347
50,48.160328
51,24.15313
52,21.854755
53,19.444294
54,16.136192
55,17.719898
56,13.338358
57,17.03885
58,30.662128
59,34.020035
60,42.05521
61,39.777023
62,40.843323
63,42.34946
64,44.5117
65,48.153984
66,47.735546
67,46.093006
68,42.922688
69,26.385464
70,23.626747
71,19.664455
72,16.463383
73,16.784405
74,13.19645
75,8.286453
76,43.618546
77,40.87595
78,45.01214
79,47.6114
80,13.9029455
81,16.511906
82,21.37639
83,15.967558
84,15.461671
85,11.555634
86,20.05887
87,35.61236
88,44.29215
89,39.99219
90,48.675705
91,47.835716
92,46.714947
93,45.778015
94,24.661812
95,15.585631
96,23.005938
97,10.168775
98,9.219007
99,17.636585
100,41.340923
101,47.283424
102,15.006856
103,16.60457
104,13.736548
105,43.027683
106,34.467106
107,48.75694
108,43.46308
109,15.164325
110,9.532517
111,9.372102
112,18.386017
113,34.76537
114,36.62801
115,48.384846
116,48.46567
117,39.792824
118,27.65305
119,23.783566
120,20.324913
121,16.747957
122,31.561676
123,47.427
124,47.059765
125,42.053913
126,41.411976
127,38.918705
128,41.70112
129,32.70473
130,48.511276
131,47.288918
132,46.600086
133,27.974806
134,23.208963
135,22.513145
136,39.620243
137,46.249924
138,49.28659
139,47.78184
140,46.941284
141,44.66237
142,26.42443
143,15.008117
144,20.805258
145,18.459072
146,18.105392
147,48.76221
148,49.62237
149,47.727802
150,47.83923
151,15.157958
152,14.411035
153,15.554025
154,9.287262
155,20.927126
156,37.556393
157,45.634785
158,42.300823
159,46.699326
160,48.70138
161,49.237984
162,48.309902
163,47.58655
164,44.94223
165,26.6337
166,14.984834
167,20.068317
168,18.64719
169,18.789856
170,11.945834
171,10.883879
172,45.297462
173,48.140186
174,44.343594
175,25.51888
176,17.650772
177,15.400357
178,17.41701
179,9.945127
180,46.22829
181,48.77401
182,49.027435
183,48.50522
184,40.021175
185,20.453482
186,19.634115
187,40.26196
188,30.352726
189,48.192463
190,43.502815
191,43.97648
192,38.432323
193,37.94961
194,35.999687
195,36.728256
196,36.6395
197,43.26774
198,38.069935
199,47.97741
200,46.742207
201,24.5686
202,23.093395
203,19.414354
204,17.421167
205,19.902924
206,40.420776
207,41.625156
208,48.80812
209,48.80843
210,47.877686
211,47.322414
212,27.154396
213,12.942607
214,21.239544
215,21.707787
216,17.494757
217,24.779222
218,44.85471
219,48.064358
220,47.054424
221,44.88991
222,25.197361
223,18.060751
224,10.5600395
225,24.72781
226,47.380985
227,48.506866
228,16.076084
229,23.918837
230,20.077332
231,20.113596
232,43.949432
233,48.496746
234,47.027634
235,19.761951
236,25.226578
237,20.838003
238,23.217325
239,44.50161
240,37.224083
241,39.128918
242,49.077133
243,49.54843
244,48.84318
245,48.871758
246,28.934631
247,22.393246
248,20.30243
249,20.572027
250,19.453913
251,33.234653
252,42.1197
253,29.908278
254,31.492613
255,47.2835
256,46.897648
257,45.67642
258,42.633392
259,40.573788
260,38.824627
261,36.4189
262,39.34336
263,43.677467
264,34.503433
265,42.938446
266,47.946323
267,44.84093
268,20.061813
269,21.766035
270,18.601343
271,18.452457
272,18.972744
273,14.842922
274,45.80591
275,47.848553
276,48.16347
277,47.66294
278,27.217113
279,13.643864
280,15.174965
281,22.657452
282,19.070467
283,17.043598
284,13.569923
285,13.25116
286,47.947704
287,48.174423
288,11.362488
289,13.303364
290,15.663282
291,11.608105
292,10.785097
293,24.569479
294,45.605217
295,48.95854
296,48.138073
297,31.408953
298,20.919037
299,30.358822
300,24.966978
301,19.461882
302,25.45418
303,43.592087
304,42.195316
305,49.83643
306,48.72433
307,49.28747
308,46.106606
309,30.929533
310,19.067373
311,9.98763
312,43.635284
313,37.104736
314,39.370205
315,49.11319
316,46.799644
317,40.063778
318,36.359127
319,35.35297
320,43.27797
321,46.08924
322,46.418705
323,45.751198
324,44.74807
325,42.978184
326,43.522186
327,42.04956
328,42.110672
329,39.148296
330,39.0177
331,41.168976
332,41.812508
333,38.30019
334,37.82389
335,44.457302
336,47.10491
337,47.019306
338,15.063633
339,19.851376
340,20.855637
341,23.776989
342,44.204327
343,44.13204
344,48.689632
345,48.09114
346,47.331097
347,17.924719
348,38.47792
349,49.61219
350,48.795322
351,47.92033
352,29.6359
353,16.327265
354,25.037
355,17.701641
356,16.163557
357,20.386665
358,36.07584
359,44.133224
360,44.873417
361,49.410946
362,17.206596
363,23.105968
364,17.539373
365,14.489824
366,11.333258
367,21.628944
368,41.971363
369,49.66227
370,49.056423
371,48.479073
372,48.085915
373,16.571693
374,18.595686
375,9.6837225
376,18.864367
377,32.893368
